date_time,user_id,is_mobile,is_package,channel,cnt,trip_type,is_family_trip,is_multi_room,total_guests,stay_duration,advance_booking_days,user_location_country,hotel_country,srch_destination_id,srch_destination_type_id,orig_destination_distance,distance_group,is_distance_unknown,distance_clean,distance_behavior_group,user_booking_rate,avg_session_intensity,avg_stay_duration,avg_advance_booking_days,mobile_usage_rate,destination_popularity,hotel_cluster,is_booking
2014-04-27 19:43:09,14,0,0,9,1,solo,0,0,1,2,54,66,50,8250,1,2265.933,far,0,2265.933,far,0.0,1.0,2.0,54.0,0.0,3544,88,0
2014-10-22 08:51:12,38,0,0,2,1,group,0,0,2,4,123,66,50,11827,1,480.7833,medium,0,480.7833,medium,0.0,1.0,4.0,123.0,0.0,47,33,0
2014-08-05 16:21:41,40,0,0,0,1,solo,0,0,1,1,1,66,50,12267,6,2576.2959,far,0,2576.2959,far,0.0,1.0,1.0,1.0,0.0,100,76,0
2014-09-18 22:30:51,156,0,0,5,1,family,1,0,4,1,14,66,50,8277,1,1128.2299,far,0,1128.2299,far,0.0,1.0,1.0,14.0,0.0,214,13,0
2014-09-18 22:24:52,156,0,0,5,1,family,1,0,4,1,14,66,50,8277,1,1127.9475,far,0,1127.9475,far,0.0,1.0,1.0,14.0,0.0,214,16,0
2014-09-27 22:41:35,160,0,0,9,1,group,0,0,5,1,91,66,50,8223,1,1540.1637,far,0,1540.1637,far,0.0,1.0,1.0,91.0,0.0,485,42,0
2014-12-14 17:57:13,184,1,0,2,1,group,0,0,2,2,60,66,50,17563,1,-1.0,unknown,1,,unknown_mobile,0.0,1.0,2.0,60.0,1.0,118,68,0
2014-11-19 08:10:53,192,0,0,0,1,family,1,0,3,1,37,66,50,19363,1,81.8614,near,0,81.8614,near,0.0,1.0,1.0,37.0,0.0,52,10,0
2013-06-16 22:48:33,194,0,0,3,2,group,0,0,2,9,77,85,43,1756,3,-1.0,unknown,1,,unknown_desktop,0.0,2.0,9.0,77.0,0.0,1,44,0
2014-10-21 08:56:58,206,0,0,1,2,solo,0,0,1,2,3,66,50,12615,5,1096.4438,far,0,1096.4438,far,0.0,2.0,2.0,3.0,0.0,20,55,0
2014-09-26 09:55:55,209,0,1,2,1,family,1,1,8,3,3,66,50,8268,1,491.7397,medium,0,491.7397,medium,0.0,1.0,3.0,3.0,0.0,1398,57,0
2014-09-26 10:05:30,209,0,0,2,1,family,1,1,8,3,3,66,50,8268,1,492.89,medium,0,492.89,medium,0.0,1.0,3.0,3.0,0.0,1398,71,0
2014-10-24 16:46:44,230,0,0,2,1,group,0,0,3,3,257,66,50,12233,6,2544.1137,far,0,2544.1137,far,0.0,1.0,3.0,257.0,0.0,405,98,0
2014-03-12 09:10:22,246,0,1,2,1,family,1,0,2,4,40,66,50,8268,1,1202.8231,far,0,1202.8231,far,0.0,1.0,4.0,40.0,0.0,1398,71,0
2014-09-15 09:13:22,277,0,0,0,1,family,1,0,4,1,25,66,50,484,1,605.1863,medium,0,605.1863,medium,0.0,1.0,1.0,25.0,0.0,10,32,0
2014-11-12 23:50:58,289,0,0,3,1,group,0,0,2,2,7,23,106,8747,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,2.0,7.0,0.0,508,10,0
2013-12-22 21:15:49,295,0,0,9,1,group,0,0,3,8,41,66,106,8747,1,5501.4033,far,0,5501.4033,far,0.0,1.0,8.0,41.0,0.0,508,62,0
2014-07-11 16:38:31,323,0,0,1,1,group,0,0,2,2,9,66,50,11995,1,148.8452,medium,0,148.8452,medium,0.0,1.0,2.0,9.0,0.0,14,93,0
2014-08-01 17:05:54,334,0,0,9,3,family,1,0,5,1,3,66,50,8283,1,704.434,medium,0,704.434,medium,0.0,3.0,1.0,3.0,0.0,99,99,0
2014-08-08 12:48:41,384,1,0,2,1,group,0,1,4,1,0,66,50,31948,4,172.7063,medium,0,172.7063,medium,0.0,1.0,1.0,0.0,1.0,1,41,0
2014-11-27 22:42:40,385,0,0,9,1,group,0,0,2,1,34,205,198,8288,1,16.8944,near,0,16.8944,near,0.0,1.0,1.0,34.0,0.0,324,68,0
2014-05-21 14:23:36,467,0,0,9,1,group,0,0,3,3,17,66,50,23573,6,2491.8327,far,0,2491.8327,far,0.0,1.0,3.0,17.0,0.0,4,72,0
2014-07-09 22:16:55,517,0,0,9,1,family,1,0,4,1,24,66,50,21645,1,301.362,medium,0,301.362,medium,0.0,1.0,1.0,24.0,0.0,38,42,0
2014-11-21 05:25:47,533,0,1,1,2,solo,0,0,1,4,38,66,77,8788,1,6006.7569,far,0,6006.7569,far,0.0,2.0,4.0,38.0,0.0,718,46,0
2014-08-11 17:28:30,552,0,1,4,1,group,0,0,2,7,112,66,8,11938,1,2486.7137,far,0,2486.7137,far,0.0,1.0,7.0,112.0,0.0,697,66,0
2014-11-13 16:01:24,592,0,0,9,1,group,0,0,2,4,21,66,50,8216,1,606.0854,medium,0,606.0854,medium,0.0,1.0,4.0,21.0,0.0,216,4,0
2014-09-22 11:11:24,622,0,1,9,1,group,0,0,2,4,60,66,50,8856,1,4794.1838,far,0,4794.1838,far,0.0,1.0,4.0,60.0,0.0,143,92,0
2014-12-05 14:59:24,632,0,0,9,1,group,0,0,2,2,11,66,50,23682,6,635.1754,medium,0,635.1754,medium,0.0,1.0,2.0,11.0,0.0,151,84,0
2014-09-11 08:00:37,656,1,0,9,3,group,0,0,2,1,0,66,50,4340,1,351.3574,medium,0,351.3574,medium,0.5,2.0,1.0,3.0,0.5,1,91,0
2014-09-15 08:46:05,656,0,0,9,1,group,0,0,2,1,6,66,50,8230,1,-1.0,unknown,1,,unknown_desktop,0.5,2.0,1.0,3.0,0.5,659,48,1
2014-03-25 15:43:47,661,1,1,9,1,group,0,0,2,3,43,66,50,8250,1,1626.8997,far,0,1626.8997,far,0.0,2.0,2.5,38.0,1.0,3544,18,0
2014-09-14 04:19:36,661,1,0,9,3,group,0,0,3,2,33,205,50,12190,6,436.1816,medium,0,436.1816,medium,0.0,2.0,2.5,38.0,1.0,73,18,0
2014-09-16 14:24:43,685,0,0,9,1,group,0,0,2,2,1,215,8,22123,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,2.0,1.0,0.0,1,78,0
2014-11-11 15:04:25,717,0,0,9,1,solo,0,0,1,4,15,66,99,15799,5,7283.9179,far,0,7283.9179,far,0.0,1.0,4.0,15.0,0.0,7,64,0
2014-03-11 00:20:27,718,0,0,2,1,solo,0,0,1,1,20,66,194,33650,1,5938.1055,far,0,5938.1055,far,0.0,1.0,1.0,20.0,0.0,26,85,0
2013-07-23 19:50:16,742,1,0,9,2,family,1,0,3,3,21,205,50,12175,6,1209.6646,far,0,1209.6646,far,0.0,2.0,3.0,21.0,1.0,477,72,0
2013-08-27 15:04:18,743,0,1,3,1,group,0,1,5,8,28,215,25,23076,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,8.0,28.0,0.0,23,30,0
2014-06-11 03:28:30,790,0,0,9,1,group,0,0,2,4,122,236,50,8266,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,4.0,122.0,0.0,427,38,0
2014-11-06 19:57:25,822,1,1,7,1,group,0,0,2,3,48,66,50,8278,1,439.0069,medium,0,439.0069,medium,0.0,1.0,3.0,48.0,1.0,722,49,0
2014-07-06 22:22:56,823,0,0,9,1,solo,0,0,1,4,86,66,50,12132,1,982.0359,medium,0,982.0359,medium,0.0,1.0,4.0,86.0,0.0,129,28,0
2014-11-26 18:18:14,827,0,1,2,1,group,0,0,2,6,25,66,163,11439,1,3172.4221,far,0,3172.4221,far,0.0,1.0,6.0,25.0,0.0,937,65,0
2014-03-27 20:50:42,842,0,0,9,1,family,1,0,2,2,57,66,50,24977,6,56.7373,near,0,56.7373,near,0.0,1.0,2.0,57.0,0.0,5,83,0
2014-11-03 12:50:54,886,0,1,9,1,group,0,0,2,5,48,66,50,8266,1,801.4112,medium,0,801.4112,medium,0.0,1.0,5.0,48.0,0.0,427,48,0
2014-07-29 20:18:57,905,0,0,0,1,group,0,0,3,1,2,66,50,64627,6,385.5912,medium,0,385.5912,medium,1.0,1.0,1.0,2.0,0.0,34,77,1
2014-11-10 10:52:08,941,0,1,5,1,group,0,0,2,8,97,66,8,11938,1,1707.4897,far,0,1707.4897,far,0.0,1.0,8.5,110.5,0.0,697,65,0
2014-09-05 19:15:03,941,0,1,5,1,group,0,0,2,9,124,66,8,11938,1,1703.3045,far,0,1703.3045,far,0.0,1.0,8.5,110.5,0.0,697,65,0
2014-11-22 12:29:03,985,0,0,9,1,solo,0,0,1,1,10,69,70,23507,6,-1.0,unknown,1,,unknown_desktop,0.0,1.0,1.0,10.0,0.0,111,19,0
2013-09-02 01:20:01,992,0,0,2,1,group,0,0,2,1,19,3,82,8256,1,-1.0,unknown,1,,unknown_desktop,1.0,1.0,1.0,19.0,0.0,132,61,1
2014-05-12 12:48:30,1004,0,0,5,1,group,0,1,4,2,53,1,105,18973,1,143.1509,medium,0,143.1509,medium,0.0,1.0,2.0,53.0,0.0,20,67,0
2013-02-16 09:38:35,1033,0,1,1,1,solo,0,0,1,7,52,1,50,8260,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,7.0,52.0,0.0,961,9,0
2014-08-10 09:07:09,1043,0,0,3,1,group,0,0,2,3,36,66,50,8223,1,2607.1906,far,0,2607.1906,far,0.0,1.0,3.0,36.0,0.0,485,69,0
2014-06-24 14:16:03,1054,0,1,9,1,family,1,0,4,9,39,66,8,8824,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,9.0,39.0,0.0,379,93,0
2013-10-30 15:39:11,1097,0,0,9,1,group,0,0,2,2,52,194,171,8242,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,2.0,52.0,0.0,656,6,0
2013-11-26 04:27:09,1105,0,1,4,2,group,0,0,2,5,102,66,163,11439,1,1521.1351,far,0,1521.1351,far,0.0,2.0,5.0,102.0,0.0,937,65,0
2014-08-23 15:52:21,1107,0,0,5,1,solo,0,0,1,14,93,69,128,6445,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,14.0,93.0,0.0,1,3,0
2013-06-16 05:52:29,1114,0,1,9,1,group,0,0,2,3,67,71,174,11634,1,-1.0,unknown,1,,unknown_desktop,0.0,1.0,3.0,67.0,0.0,82,96,0
2014-07-01 06:04:51,1116,0,0,9,2,solo,0,0,1,1,3,46,31,22169,6,688.1379,medium,0,688.1379,medium,0.0,2.0,1.0,3.0,0.0,21,91,0
2014-07-20 16:10:42,1119,0,0,9,1,solo,0,0,1,1,1,66,50,12235,6,1.8271,near,0,1.8271,near,1.0,1.0,1.0,1.0,0.0,24,99,1
